측정지역,법적구분,용도구분,지역구분,측정지점,측정년도,측정분기,평균 낮,평균 밤,낮 09시 자료,낮 12시 자료,낮 16시 자료,낮 20시 자료,밤 23시 자료,밤 01시 자료
강서구명지동,나,일반주거,일반,삼정그린코아,2022,2,57,46,56,59,58,58,49,43
강서구명지동,나,일반주거,일반,에덴하우스,2022,2,59,53,55,58,59,64,60,47
강서구명지동,나,일반주거,일반,협성휴포레,2022,2,55,42,56,58,54,53,45,40
기장군기장읍,나,일반주거,도로,기장FILA 앞,2022,2,68,68,68,68,68,69,70,66
기장군기장읍,나,일반주거,도로,초이스안경 앞,2022,2,72,69,70,76,70,72,68,70
기장군기장읍,나,일반주거,일반,678치킨 앞,2022,2,55,57,52,56,55,59,57,57
기장군정관읍,나,일반주거,일반,동일스위트,2022,2,52,50,50,51,53,54,53,48
기장군정관읍,나,일반주거,일반,이진캐스빌,2022,2,50,48,51,54,51,46,52,44
기장군정관읍,나,일반주거,일반,하늘애,2022,2,53,50,54,55,52,53,51,49
동래구사직2동,나,일반주거,도로,시티부동산 건너편,2022,2,63,57,63,63,65,63,60,54
동래구사직2동,나,일반주거,도로,종로엠스쿨 앞,2022,2,65,61,65,65,66,66,63,59
동래구사직2동,나,일반주거,일반,남다른대구막창 앞,2022,2,58,53,60,57,57,58,57,49
동래구사직2동,나,일반주거,일반,쌍용예가 107동 앞,2022,2,57,49,57,57,59,55,50,49
해운대구중1동,다,상업지역,도로,노보텔호텔 우,2022,2,72,71,73,73,73,72,72,71
해운대구중1동,다,상업지역,도로,노보텔호텔 좌,2022,2,73,73,73,73,73,73,73,73
해운대구중1동,다,상업지역,일반,노보텔호텔 뒤,2022,2,60,62,58,61,65,59,68,56
해운대구중1동,다,상업지역,일반,파라다이스호텔 옆,2022,2,57,55,56,58,59,58,56,54
해운대구중1동,다,상업지역,일반,파라다이스호텔 입구,2022,2,59,57,55,60,62,61,58,56
영도구남항동,다,준공업지역,도로,구 남항새마을금고 앞,2022,2,67,63,68,68,69,66,66,60
영도구남항동,다,준공업지역,도로,카이스트안경 앞,2022,2,68,62,69,69,69,67,65,60
영도구남항동,다,준공업지역,일반,신한아파트 앞,2022,2,59,46,62,61,61,53,47,45
영도구남항동,다,준공업지역,일반,영도종합상가 앞,2022,2,61,41,67,65,65,48,42,40
영도구남항동,다,준공업지역,일반,유성티엠주식회사 앞,2022,2,58,49,59,60,62,53,44,55
중구대청공원,가,녹지,도로,시민아파트 앞,2022,3,66,60,68,66,67,65,65,55
중구대청공원,가,녹지,도로,시민헌장 앞,2022,3,55,50,58,56,55,53,53,47
중구대청공원,가,녹지,일반,도서관 앞,2022,3,51,49,52,51,51,53,51,48
중구대청공원,가,녹지,일반,동상 앞,2022,3,51,50,51,52,51,51,51,50
중구대청공원,가,녹지,일반,충혼탑입구,2022,3,58,56,59,59,59,56,63,50
부산진구개금2동백병원주변,가,종합병원,도로,개금2동새마을금고 앞,2022,3,63,57,66,63,66,60,59,55
부산진구개금2동백병원주변,가,종합병원,도로,주원초등학교 앞,2022,3,62,56,64,63,63,61,59,54
부산진구개금2동백병원주변,가,종합병원,일반,건강탕 앞,2022,3,58,48,58,58,59,57,50,46
부산진구개금2동백병원주변,가,종합병원,일반,고원아파트1동 107호 앞,2022,3,54,43,55,52,51,59,44,43
